Best | F1=0.4478 precision=0.4592 recall=0.4370 accuracy=0.7877 threshold=0.9700 thresholds_tested=101
Avg  | F1=0.2541 precision=0.1588 recall=0.8567 accuracy=0.3324 thresholds_tested=101
Runtime : 4210.71 sec
Avg CPU : 158.4%
Peak RAM: 1338.2 MB

RAM samples (10s intervals):
  t=3720.6s  1337.1 MB
  t=3730.6s  1337.1 MB
  t=3740.6s  1337.1 MB
  t=3750.6s  1337.1 MB
  t=3760.6s  1337.1 MB
  t=3770.6s  1337.1 MB
  t=3780.6s  1337.1 MB
  t=3790.6s  1337.1 MB
  t=3800.6s  1337.1 MB
  t=3810.6s  1337.1 MB
  t=3820.6s  1337.1 MB
  t=3830.6s  1337.1 MB
  t=3840.6s  1337.1 MB
  t=3850.6s  1337.1 MB
  t=3860.6s  1337.1 MB
  t=3870.6s  1337.1 MB
  t=3880.6s  1337.1 MB
  t=3890.6s  1337.1 MB
  t=3900.6s  1337.1 MB
  t=3910.6s  1337.1 MB
  t=3920.7s  1337.1 MB
  t=3930.7s  1337.1 MB
  t=3940.7s  1337.1 MB
  t=3950.7s  1337.1 MB
  t=3960.7s  1337.1 MB
  t=3970.7s  1337.1 MB
  t=3980.7s  1337.1 MB
  t=3990.7s  1337.1 MB
  t=4000.7s  1337.1 MB
  t=4010.7s  1337.1 MB
  t=4020.7s  1337.1 MB
  t=4030.7s  1337.1 MB
  t=4040.7s  1337.1 MB
  t=4050.7s  1337.1 MB
  t=4060.7s  1337.1 MB
  t=4070.7s  1337.1 MB
  t=4080.7s  1337.1 MB
  t=4090.7s  1337.1 MB
  t=4100.7s  1337.1 MB
  t=4110.7s  1337.1 MB
  t=4120.7s  1337.1 MB
  t=4130.7s  1337.1 MB
  t=4140.7s  1337.1 MB
  t=4150.7s  1337.1 MB
  t=4160.7s  1337.1 MB
  t=4170.7s  1337.1 MB
  t=4180.7s  1337.1 MB
  t=4190.7s  1337.1 MB
  t=4200.7s  1337.1 MB
